Tipo de impuesto,Fecha
Vencimieno IVA Bimestral,2026-07-16
Vencimieno IVA Bimestral,2026-09-16
Vencimieno IVA Bimestral,2026-11-19
Vencimieno IVA Bimestral,2027-01-20
Vencimieno IVA Bimestral,2026-03-18
Vencimieno IVA Bimestral,2026-05-21
Vencimieno IVA Bimestral,2026-07-17
Vencimieno IVA Bimestral,2026-09-17
Vencimieno IVA Bimestral,2026-11-20
Vencimieno IVA Bimestral,2027-01-21
Vencimieno IVA Bimestral,2026-03-19
Vencimieno IVA Bimestral,2026-05-22
Vencimieno IVA Bimestral,2026-07-21
Vencimieno IVA Bimestral,2026-09-18
Vencimieno IVA Bimestral,2026-11-23
Vencimieno IVA Bimestral,2027-01-22
Vencimieno IVA Bimestral,2026-03-20
Vencimieno IVA Bimestral,2026-05-25
Vencimieno IVA Bimestral,2026-07-22
Vencimieno IVA Bimestral,2026-09-21
Vencimieno IVA Bimestral,2026-11-24
Vencimieno IVA Bimestral,2027-01-25
Vencimieno IVA Bimestral,2026-03-24
Vencimieno IVA Bimestral,2026-05-26
Vencimieno IVA Bimestral,2026-07-23
Vencimieno IVA Bimestral,2026-09-22
Vencimieno IVA Bimestral,2026-11-25
Vencimieno IVA Bimestral,2027-01-26
Vencimieno IVA Cuatrimestral,2026-05-12
Vencimieno IVA Cuatrimestral,2026-05-13
Vencimieno IVA Cuatrimestral,2026-05-14
Vencimieno IVA Cuatrimestral,2026-05-15
Vencimieno IVA Cuatrimestral,2026-05-19
Vencimieno IVA Cuatrimestral,2026-05-20
Vencimieno IVA Cuatrimestral,2026-05-21
Vencimieno IVA Cuatrimestral,2026-05-22
Vencimieno IVA Cuatrimestral,2026-05-25
Vencimieno IVA Cuatrimestral,2026-05-26
Vencimieno IVA Cuatrimestral,2026-09-09
Vencimieno IVA Cuatrimestral,2026-09-10
Vencimieno IVA Cuatrimestral,2026-09-11
Vencimieno IVA Cuatrimestral,2026-09-14
Vencimieno IVA Cuatrimestral,2026-09-15
Vencimieno IVA Cuatrimestral,2026-09-16
Vencimieno IVA Cuatrimestral,2026-09-17
Vencimieno IVA Cuatrimestral,2026-09-18
Vencimieno IVA Cuatrimestral,2026-09-21
Vencimieno IVA Cuatrimestral,2026-09-22
Vencimieno IVA Cuatrimestral,2027-01-13
Vencimieno IVA Cuatrimestral,2027-01-14
Vencimieno IVA Cuatrimestral,2027-01-15
Vencimieno IVA Cuatrimestral,2027-01-18
Vencimieno IVA Cuatrimestral,2027-01-19
Vencimieno IVA Cuatrimestral,2027-01-20
Vencimieno IVA Cuatrimestral,2027-01-21
Vencimieno IVA Cuatrimestral,2027-01-22
Vencimieno IVA Cuatrimestral,2027-01-25
Vencimieno IVA Cuatrimestral,2027-01-26
Anticipo Simple,12/05/2026
Anticipo Simple,13/05/2026
Anticipo Simple,14/05/2026
Anticipo Simple,15/05/2026
Anticipo Simple,19/05/2026
Anticipo Simple,20/05/2026
Anticipo Simple,21/05/2026
Anticipo Simple,22/05/2026
Anticipo Simple,25/05/2026
Anticipo Simple,26/05/2026
Anticipo Simple,10/06/2026
Anticipo Simple,11/06/2026
Anticipo Simple,12/06/2026
Anticipo Simple,16/06/2026
Anticipo Simple,17/06/2026
Anticipo Simple,18/06/2026
Anticipo Simple,19/06/2026
Anticipo Simple,22/06/2026
Anticipo Simple,23/06/2026
Anticipo Simple,24/06/2026
Anticipo Simple,09/07/2026
Anticipo Simple,10/07/2026
Anticipo Simple,13/07/2026
Anticipo Simple,14/07/2026
Anticipo Simple,15/07/2026
Anticipo Simple,16/07/2026
Anticipo Simple,17/07/2026
Anticipo Simple,21/07/2026
Anticipo Simple,22/07/2026
Anticipo Simple,23/07/2026
Anticipo Simple,09/09/2026
Anticipo Simple,10/09/2026
Anticipo Simple,11/09/2026
Anticipo Simple,14/09/2026
Anticipo Simple,15/09/2026
Anticipo Simple,16/09/2026
Anticipo Simple,17/09/2026
Anticipo Simple,18/09/2026
Anticipo Simple,21/09/2026
Anticipo Simple,22/09/2026
Anticipo Simple,2026-11-11
Anticipo Simple,2026-11-12
Anticipo Simple,2026-11-13
Anticipo Simple,2026-11-17
Anticipo Simple,2026-11-18
Anticipo Simple,2026-11-19
Anticipo Simple,2026-11-20
Anticipo Simple,2026-11-23
Anticipo Simple,2026-11-24
Anticipo Simple,2026-11-25
Anticipo Simple,2027-01-13
Anticipo Simple,2027-01-14
Anticipo Simple,2027-01-15
Anticipo Simple,2027-01-18
Anticipo Simple,2027-01-19
Anticipo Simple,2027-01-20
Anticipo Simple,2027-01-21
Anticipo Simple,2027-01-22
Anticipo Simple,2027-01-25
Anticipo Simple,2027-01-26
PJ,2026-05-12
PJ,2026-05-13
PJ,2026-05-14
PJ,2026-05-15
PJ,2026-05-19
PJ,2026-05-20
PJ,2026-05-21
PJ,2026-05-22
PJ,2026-05-25
PJ,2026-05-26
PJ,2026-07-09
PJ,2026-07-10
PJ,2026-07-13
PJ,2026-07-14
PJ,2026-07-15
PJ,2026-07-16
PJ,2026-07-17
PJ,2026-07-21
PJ,2026-07-22
PJ,2026-07-23
Renta simple anual,2026-04-17
Renta simple anual,2026-04-20
Renta simple anual,2026-04-21
Renta simple anual,2026-04-22
Renta simple anual,2026-04-23
Renta simple anual,2026-04-17
Renta simple anual,2026-04-20
Renta simple anual,2026-04-21
Renta simple anual,2026-04-22
Renta simple anual,2026-04-22
PN,2026-08-12
PN,2026-08-13
PN,2026-08-14
PN,2026-08-18
PN,2026-08-19
PN,2026-08-20
PN,2026-08-21
PN,2026-08-24
PN,2026-08-25
PN,2026-08-26
PN,2026-08-27
PN,2026-08-28
PN,2026-08-31
PN,2026-09-01
PN,2026-09-02
PN,2026-09-03
PN,2026-09-04
PN,2026-09-07
PN,2026-09-08
PN,2026-09-09
PN,2026-09-10
PN,2026-09-11
PN,2026-09-14
PN,2026-09-15
PN,2026-09-16
PN,2026-09-17
PN,2026-09-18
PN,2026-09-21
PN,2026-09-22
PN,2026-09-23
PN,2026-09-24
PN,2026-09-25
PN,2026-09-28
PN,2026-10-01
PN,2026-10-02
PN,2026-10-05
PN,2026-10-06
PN,2026-10-07
PN,2026-10-08
PN,2026-10-09
PN,2026-10-13
PN,2026-10-14
PN,2026-10-15
PN,2026-10-16
PN,2026-10-19
PN,2026-10-20
PN,2026-10-21
PN,2026-10-22
PN,2026-10-23
PN,2026-10-26
PN,2026-08-12
PN,2026-08-13
PN,2026-08-14
PN,2026-08-18
PN,2026-08-19
PN,2026-08-20
PN,2026-08-21
PN,2026-08-24
PN,2026-08-25
PN,2026-08-26
PN,2026-08-27
PN,2026-08-28
PN,2026-08-31
PN,2026-09-01
PN,2026-09-02
PN,2026-09-03
PN,2026-09-04
PN,2026-09-07
PN,2026-09-08
PN,2026-09-09
PN,2026-09-10
PN,2026-09-11
PN,2026-09-14
PN,2026-09-15
PN,2026-09-16
PN,2026-09-17
PN,2026-09-18
PN,2026-09-21
PN,2026-09-22
PN,2026-09-23
PN,2026-09-24
PN,2026-09-25
PN,2026-09-28
PN,2026-10-01
PN,2026-10-02
PN,2026-10-05
PN,2026-10-06
PN,2026-10-07
PN,2026-10-08
PN,2026-10-09
PN,2026-10-13
PN,2026-10-14
PN,2026-10-15
PN,2026-10-16
PN,2026-10-19
PN,2026-10-20
PN,2026-10-21
PN,2026-10-22
PN,2026-10-23
PN,2026-10-26
Exogena,2026-05-14
Exogena,2026-05-14
Exogena,2026-05-14
Exogena,2026-05-14
Exogena,2026-05-14
Exogena,2026-05-15
Exogena,2026-05-15
Exogena,2026-05-15
Exogena,2026-05-15
Exogena,2026-05-15
Exogena,2026-05-19
Exogena,2026-05-19
Exogena,2026-05-19
Exogena,2026-05-19
Exogena,2026-05-19
Exogena,2026-05-20
Exogena,2026-05-20
Exogena,2026-05-20
Exogena,2026-05-20
Exogena,2026-05-20
Exogena,2026-05-21
Exogena,2026-05-21
Exogena,2026-05-21
Exogena,2026-05-21
Exogena,2026-05-21
Exogena,2026-05-22
Exogena,2026-05-22
Exogena,2026-05-22
Exogena,2026-05-22
Exogena,2026-05-22
Exogena,2026-05-25
Exogena,2026-05-25
Exogena,2026-05-25
Exogena,2026-05-25
Exogena,2026-05-25
Exogena,2026-05-26
Exogena,2026-05-26
Exogena,2026-05-26
Exogena,2026-05-26
Exogena,2026-05-26
Exogena,2026-05-27
Exogena,2026-05-27
Exogena,2026-05-27
Exogena,2026-05-27
Exogena,2026-05-27
Exogena,2026-05-28
Exogena,2026-05-28
Exogena,2026-05-28
Exogena,2026-05-28
Exogena,2026-05-28
Exogena,2026-05-29
Exogena,2026-05-29
Exogena,2026-05-29
Exogena,2026-05-29
Exogena,2026-05-29
Exogena,2026-06-01
Exogena,2026-06-01
Exogena,2026-06-01
Exogena,2026-06-01
Exogena,2026-06-01
Exogena,2026-06-02
Exogena,2026-06-02
Exogena,2026-06-02
Exogena,2026-06-02
Exogena,2026-06-02
Exogena,2026-06-03
Exogena,2026-06-03
Exogena,2026-06-03
Exogena,2026-06-03
Exogena,2026-06-03
Exogena,2026-06-04
Exogena,2026-06-04
Exogena,2026-06-04
Exogena,2026-06-04
Exogena,2026-06-04
Exogena,2026-06-05
Exogena,2026-06-05
Exogena,2026-06-05
Exogena,2026-06-05
Exogena,2026-06-05
Exogena,2026-06-09 11:59 p.m
Exogena,2026-06-09 11:59 p.m
Exogena,2026-06-09 11:59 p.m
Exogena,2026-06-09 11:59 p.m
Exogena,2026-06-09 11:59 p.m
Exogena,2026-06-10
Exogena,2026-06-10
Exogena,2026-06-10
Exogena,2026-06-10
Exogena,2026-06-10
Exogena,2026-06-11
Exogena,2026-06-11
Exogena,2026-06-11
Exogena,2026-06-11
Exogena,2026-06-11
Exogena,2026-06-12
Exogena,2026-06-12
Exogena,2026-06-12
Exogena,2026-06-12
Exogena,2026-06-12
Impuesto al patrimonio,2026-05-12
Impuesto al patrimonio,2026-05-13
Impuesto al patrimonio,2026-05-14
Impuesto al patrimonio,2026-05-15
Impuesto al patrimonio,2026-05-19
Impuesto al patrimonio,2026-05-20
Impuesto al patrimonio,2026-05-21
Impuesto al patrimonio,2026-05-22
Impuesto al patrimonio,2026-05-25
Impuesto al patrimonio,2026-05-26
Impuesto al patrimonio,2026-09-14
Impuesto al patrimonio,2026-09-14
Impuesto al patrimonio,2026-09-14
Impuesto al patrimonio,2026-09-14
Impuesto al patrimonio,2026-09-14
Impuesto al patrimonio,2026-09-14
Impuesto al patrimonio,2026-09-14
Impuesto al patrimonio,2026-09-14
Impuesto al patrimonio,2026-09-14
Impuesto al patrimonio,2026-09-14
